Country,ServerCount,Cities,Features
"United States",3188,17,"Streaming,P2P,TOR"
"Germany",483,2,"Streaming,P2P,TOR"
"Netherlands",432,1,"Streaming,P2P"
"Canada",849,3,"Streaming,P2P"
"United Kingdom",553,5,"Streaming,P2P"
"France",294,2,"Streaming,P2P,TOR"
"Switzerland",790,1,"Streaming,P2P,TOR"
"Sweden",267,1,"Streaming,P2P,TOR"
"Japan",79,2,"Streaming,P2P"
"Australia",268,5,"Streaming,P2P"
"Italy",74,2,"Streaming,P2P"
"Spain",114,2,"Streaming,P2P"
"Brazil",108,1,"Streaming,P2P"
"Romania",105,1,"Streaming,P2P"
"Austria",104,1,"Streaming,P2P"
"Venezuela",119,1,"Streaming,P2P"
"Denmark",94,1,"Streaming,P2P"
"Belgium",70,1,"Streaming,P2P"
"Norway",56,1,"Streaming,P2P"
"Mexico",76,2,"Streaming,P2P"
"Singapore",53,1,"Streaming,P2P"
"New Zealand",57,1,"Streaming,P2P"
"Hong Kong SAR China",42,1,"Streaming,P2P,TOR"
"Finland",41,1,"Streaming,P2P"
"Poland",41,1,"Streaming,P2P"
"Portugal",48,1,"Streaming,P2P"
"Greece",64,1,"Streaming,P2P"
"Ireland",49,1,"Streaming,P2P"
"Luxembourg",40,1,"Streaming,P2P"
"Czechia",55,1,"Streaming,P2P"
"Croatia",48,1,"Streaming,P2P"
"Bulgaria",41,1,"Streaming,P2P"
"Slovakia",62,1,"Streaming,P2P"
"Slovenia",64,1,"Streaming,P2P"
"Serbia",48,1,"Streaming,P2P"
"Estonia",20,1,"Streaming,P2P"
"Latvia",20,1,"P2P"
"Lithuania",56,2,"Streaming,P2P"
"Hungary",24,1,"Streaming,P2P"
"Ukraine",64,1,"Streaming,P2P"
"Russia",53,1,"Streaming,P2P"
"Iceland",24,1,"Streaming,P2P"
"Moldova",36,1,"Streaming,P2P"
"Israel",14,2,"P2P"
"India",30,1,"Streaming,P2P"
"South Korea",12,1,"Streaming,P2P"
"Taiwan",20,2,"P2P"
"Thailand",36,1,"Streaming,P2P"
"Malaysia",36,2,"Streaming,P2P"
"Indonesia",18,1,"Streaming,P2P"
"Philippines",12,1,"Streaming,P2P"
"Vietnam",12,1,"P2P"
"South Africa",35,1,"Streaming,P2P"
"Egypt",16,1,"P2P"
"Nigeria",40,2,"Streaming,P2P"
"Argentina",16,1,"Streaming,P2P"
"Chile",8,1,"Streaming,P2P"
"Colombia",28,1,"Streaming,P2P"
"Peru",8,1,"Streaming,P2P"
"Ecuador",8,1,"Streaming,P2P"
"Costa Rica",1,1,"Streaming,P2P"
"El Salvador",53,1,"Streaming,P2P"
